title	gene_name	label	biosample_summary	accession	md5sum	file_format	assembly	paired_end	paired_with	output_type	biological_replicates	fn_hr	fn_acc
LARP4 (Homo sapiens)	LARP4	LARP4	K562	ENCFF498JIR	0f3d167bce1b576a4a4d1946fd8424bb	fastq	NA	2	/files/ENCFF109RNC/	reads	2	LARP4_K562_rep2_R2_reads.fastq.gz	ENCFF498JIR.fastq.gz
BCCIP eCLIP mock input (Homo sapiens)	NA	BCCIP eCLIP mock input	HepG2	ENCFF996LKZ	6f98a9c511b3731c096d484731b903e8	fastq	NA	1	/files/ENCFF371GVL/	reads	1	BCCIP-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF996LKZ.fastq.gz
BCCIP eCLIP mock input (Homo sapiens)	NA	BCCIP eCLIP mock input	HepG2	ENCFF371GVL	158e656ff82beafe9a5056606923bbb4	fastq	NA	2	/files/ENCFF996LKZ/	reads	1	BCCIP-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF371GVL.fastq.gz
HNRNPA1 eCLIP mock input (Homo sapiens)	NA	HNRNPA1 eCLIP mock input	K562	ENCFF895XZY	3ae985885e455815018f5c0e4cfb28e0	fastq	NA	1	/files/ENCFF872NAM/	reads	1	HNRNPA1-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF895XZY.fastq.gz
HNRNPA1 eCLIP mock input (Homo sapiens)	NA	HNRNPA1 eCLIP mock input	K562	ENCFF872NAM	fb448a3b35f28e1750084aa3580c7dd2	fastq	NA	2	/files/ENCFF895XZY/	reads	1	HNRNPA1-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF872NAM.fastq.gz
PPIG (Homo sapiens)	PPIG	PPIG	HepG2	ENCFF647KKB	a202de70b550b0af4da591f976066580	fastq	NA	1	/files/ENCFF193XUL/	reads	1	PPIG_HepG2_rep1_R1_reads.fastq.gz	ENCFF647KKB.fastq.gz
PPIG (Homo sapiens)	PPIG	PPIG	HepG2	ENCFF477APU	4e9b740aeb7920ee49a42a99952e3085	fastq	NA	1	/files/ENCFF343FWV/	reads	2	PPIG_HepG2_rep2_R1_reads.fastq.gz	ENCFF477APU.fastq.gz
PPIG (Homo sapiens)	PPIG	PPIG	HepG2	ENCFF343FWV	55c617aba62279250e2666923470f119	fastq	NA	2	/files/ENCFF477APU/	reads	2	PPIG_HepG2_rep2_R2_reads.fastq.gz	ENCFF343FWV.fastq.gz
PPIG (Homo sapiens)	PPIG	PPIG	HepG2	ENCFF193XUL	27b9d68ea6a3346ce4396bf84635ae96	fastq	NA	2	/files/ENCFF647KKB/	reads	1	PPIG_HepG2_rep1_R2_reads.fastq.gz	ENCFF193XUL.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	HepG2	ENCFF841ZMA	2a47936cdb8ff3b6ed8b896b77622ce2	fastq	NA	1	/files/ENCFF444ZHJ/	reads	2	NCBP2_HepG2_rep2_R1_reads.fastq.gz	ENCFF841ZMA.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	HepG2	ENCFF444ZHJ	d2673501da63db54dc2cccdf16ef8c73	fastq	NA	2	/files/ENCFF841ZMA/	reads	2	NCBP2_HepG2_rep2_R2_reads.fastq.gz	ENCFF444ZHJ.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	HepG2	ENCFF731KNX	02934172a63438cf8e72b255722645b8	fastq	NA	1	/files/ENCFF838SXG/	reads	1	NCBP2_HepG2_rep1_R1_reads.fastq.gz	ENCFF731KNX.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	HepG2	ENCFF838SXG	2dc535983b5e2fd9ea3f894acc2c990f	fastq	NA	2	/files/ENCFF731KNX/	reads	1	NCBP2_HepG2_rep1_R2_reads.fastq.gz	ENCFF838SXG.fastq.gz
HNRNPU (Homo sapiens)	HNRNPU	HNRNPU	HepG2	ENCFF195JRZ	77fea905018216d119f844617d0ce1e5	fastq	NA	1	/files/ENCFF942SSU/	reads	2	HNRNPU_HepG2_rep2_R1_reads.fastq.gz	ENCFF195JRZ.fastq.gz
HNRNPU (Homo sapiens)	HNRNPU	HNRNPU	HepG2	ENCFF383SFO	3242ab693b8e8cce065925e561574059	fastq	NA	1	/files/ENCFF739PWI/	reads	1	HNRNPU_HepG2_rep1_R1_reads.fastq.gz	ENCFF383SFO.fastq.gz
HNRNPU (Homo sapiens)	HNRNPU	HNRNPU	HepG2	ENCFF739PWI	7a4c3b3486586b597aa770f8e737f705	fastq	NA	2	/files/ENCFF383SFO/	reads	1	HNRNPU_HepG2_rep1_R2_reads.fastq.gz	ENCFF739PWI.fastq.gz
HNRNPU (Homo sapiens)	HNRNPU	HNRNPU	HepG2	ENCFF942SSU	2ff9399ae30095f7308b8bb00813af75	fastq	NA	2	/files/ENCFF195JRZ/	reads	2	HNRNPU_HepG2_rep2_R2_reads.fastq.gz	ENCFF942SSU.fastq.gz
TROVE2 (Homo sapiens)	TROVE2	TROVE2	HepG2	ENCFF857CKQ	f694f382524e46588e36ee778cca0066	fastq	NA	1	/files/ENCFF681SRL/	reads	2	TROVE2_HepG2_rep2_R1_reads.fastq.gz	ENCFF857CKQ.fastq.gz
TROVE2 (Homo sapiens)	TROVE2	TROVE2	HepG2	ENCFF476NYI	29df20d5c36dc84d4e3aba611cc8d8d0	fastq	NA	1	/files/ENCFF049UNM/	reads	1	TROVE2_HepG2_rep1_R1_reads.fastq.gz	ENCFF476NYI.fastq.gz
TROVE2 (Homo sapiens)	TROVE2	TROVE2	HepG2	ENCFF681SRL	e0802753048c478d18c5b78364ffda40	fastq	NA	2	/files/ENCFF857CKQ/	reads	2	TROVE2_HepG2_rep2_R2_reads.fastq.gz	ENCFF681SRL.fastq.gz
TROVE2 (Homo sapiens)	TROVE2	TROVE2	HepG2	ENCFF049UNM	753792ccd457d59f85bc01e6c678c69c	fastq	NA	2	/files/ENCFF476NYI/	reads	1	TROVE2_HepG2_rep1_R2_reads.fastq.gz	ENCFF049UNM.fastq.gz
LARP7 (Homo sapiens)	LARP7	LARP7	HepG2	ENCFF932HYJ	9cffe984e6803c70b7cf046de3a3e3db	fastq	NA	1	/files/ENCFF419HTA/	reads	1	LARP7_HepG2_rep1_R1_reads.fastq.gz	ENCFF932HYJ.fastq.gz
LARP7 (Homo sapiens)	LARP7	LARP7	HepG2	ENCFF834FSL	ee6b54e8846d410adcc798415fca2171	fastq	NA	1	/files/ENCFF237QRX/	reads	2	LARP7_HepG2_rep2_R1_reads.fastq.gz	ENCFF834FSL.fastq.gz
LARP7 (Homo sapiens)	LARP7	LARP7	HepG2	ENCFF237QRX	a700aaa45aa0c58e3b4ff2c5d3c27fc2	fastq	NA	2	/files/ENCFF834FSL/	reads	2	LARP7_HepG2_rep2_R2_reads.fastq.gz	ENCFF237QRX.fastq.gz
LARP7 (Homo sapiens)	LARP7	LARP7	HepG2	ENCFF419HTA	50b2a417b561185f3bb068d7d2462c50	fastq	NA	2	/files/ENCFF932HYJ/	reads	1	LARP7_HepG2_rep1_R2_reads.fastq.gz	ENCFF419HTA.fastq.gz
RBM22 (Homo sapiens)	RBM22	RBM22	HepG2	ENCFF827TLD	283ecff348d75ba0819da46424e1e253	fastq	NA	1	/files/ENCFF433TMO/	reads	2	RBM22_HepG2_rep2_R1_reads.fastq.gz	ENCFF827TLD.fastq.gz
RBM22 (Homo sapiens)	RBM22	RBM22	HepG2	ENCFF125EJB	2bf49912d53f588c29b8b6ae13d0d950	fastq	NA	1	/files/ENCFF210HLS/	reads	1	RBM22_HepG2_rep1_R1_reads.fastq.gz	ENCFF125EJB.fastq.gz
RBM22 (Homo sapiens)	RBM22	RBM22	HepG2	ENCFF210HLS	2fc9e0c5739a763285112a2e7f10af5a	fastq	NA	2	/files/ENCFF125EJB/	reads	1	RBM22_HepG2_rep1_R2_reads.fastq.gz	ENCFF210HLS.fastq.gz
RBM22 (Homo sapiens)	RBM22	RBM22	HepG2	ENCFF433TMO	1f6f88f12a5b74cd7de53cb4f7ffde87	fastq	NA	2	/files/ENCFF827TLD/	reads	2	RBM22_HepG2_rep2_R2_reads.fastq.gz	ENCFF433TMO.fastq.gz
TAF15 (Homo sapiens)	TAF15	TAF15	HepG2	ENCFF456KCB	b6204299b5ad795cd6612be4fe35056d	fastq	NA	1	/files/ENCFF718IXR/	reads	1	TAF15_HepG2_rep1_R1_reads.fastq.gz	ENCFF456KCB.fastq.gz
TAF15 (Homo sapiens)	TAF15	TAF15	HepG2	ENCFF185GGV	8a03ef096eae87dfebcabcce9e056055	fastq	NA	1	/files/ENCFF192XSY/	reads	2	TAF15_HepG2_rep2_R1_reads.fastq.gz	ENCFF185GGV.fastq.gz
TAF15 (Homo sapiens)	TAF15	TAF15	HepG2	ENCFF192XSY	3a7953210499a8ec23c12a30a5b86c24	fastq	NA	2	/files/ENCFF185GGV/	reads	2	TAF15_HepG2_rep2_R2_reads.fastq.gz	ENCFF192XSY.fastq.gz
TAF15 (Homo sapiens)	TAF15	TAF15	HepG2	ENCFF718IXR	289e4f9eb4b6dabc825c9b3e1ef735b9	fastq	NA	2	/files/ENCFF456KCB/	reads	1	TAF15_HepG2_rep1_R2_reads.fastq.gz	ENCFF718IXR.fastq.gz
ILF3 (Homo sapiens)	ILF3	ILF3	K562	ENCFF412NAX	07f292d26fa2565374d0d303a69369b6	fastq	NA	1	/files/ENCFF824RQD/	reads	1	ILF3_K562_rep1_R1_reads.fastq.gz	ENCFF412NAX.fastq.gz
ILF3 (Homo sapiens)	ILF3	ILF3	K562	ENCFF585YOO	453ba6c5a831b364a9886bff7db224db	fastq	NA	1	/files/ENCFF526EKC/	reads	2	ILF3_K562_rep2_R1_reads.fastq.gz	ENCFF585YOO.fastq.gz
ILF3 (Homo sapiens)	ILF3	ILF3	K562	ENCFF526EKC	e940175269d90c3400fe3515fae71f3b	fastq	NA	2	/files/ENCFF585YOO/	reads	2	ILF3_K562_rep2_R2_reads.fastq.gz	ENCFF526EKC.fastq.gz
ILF3 (Homo sapiens)	ILF3	ILF3	K562	ENCFF824RQD	647d4722ae72018349511eccbddb4294	fastq	NA	2	/files/ENCFF412NAX/	reads	1	ILF3_K562_rep1_R2_reads.fastq.gz	ENCFF824RQD.fastq.gz
IGF2BP1 (Homo sapiens)	IGF2BP1	IGF2BP1	K562	ENCFF399XVR	5d07e3ab7efe2c04927edee3f04bd434	fastq	NA	1	/files/ENCFF088JXR/	reads	1	IGF2BP1_K562_rep1_R1_reads.fastq.gz	ENCFF399XVR.fastq.gz
IGF2BP1 (Homo sapiens)	IGF2BP1	IGF2BP1	K562	ENCFF383VVS	dff2fff665a3cea9aed826c2f5e6afc8	fastq	NA	1	/files/ENCFF271KYF/	reads	2	IGF2BP1_K562_rep2_R1_reads.fastq.gz	ENCFF383VVS.fastq.gz
IGF2BP1 (Homo sapiens)	IGF2BP1	IGF2BP1	K562	ENCFF088JXR	b77213da4dede6ea0ef728e59ee2425b	fastq	NA	2	/files/ENCFF399XVR/	reads	1	IGF2BP1_K562_rep1_R2_reads.fastq.gz	ENCFF088JXR.fastq.gz
IGF2BP1 (Homo sapiens)	IGF2BP1	IGF2BP1	K562	ENCFF271KYF	c99603bc5b65753e48c6e1a1bc1708b7	fastq	NA	2	/files/ENCFF383VVS/	reads	2	IGF2BP1_K562_rep2_R2_reads.fastq.gz	ENCFF271KYF.fastq.gz
YBX3 (Homo sapiens)	YBX3	YBX3	K562	ENCFF655OVT	7cce246e46a252f1de3d3684eee34ffb	fastq	NA	1	/files/ENCFF841ECJ/	reads	1	YBX3_K562_rep1_R1_reads.fastq.gz	ENCFF655OVT.fastq.gz
YBX3 (Homo sapiens)	YBX3	YBX3	K562	ENCFF631SCU	7db3c01c40cf6d1774d9378654c36477	fastq	NA	1	/files/ENCFF047HLT/	reads	2	YBX3_K562_rep2_R1_reads.fastq.gz	ENCFF631SCU.fastq.gz
YBX3 (Homo sapiens)	YBX3	YBX3	K562	ENCFF047HLT	333d80d78b70ae748e2e3d3ca6f8e87c	fastq	NA	2	/files/ENCFF631SCU/	reads	2	YBX3_K562_rep2_R2_reads.fastq.gz	ENCFF047HLT.fastq.gz
YBX3 (Homo sapiens)	YBX3	YBX3	K562	ENCFF841ECJ	19f32e3f467edf3d25e62659a290ad29	fastq	NA	2	/files/ENCFF655OVT/	reads	1	YBX3_K562_rep1_R2_reads.fastq.gz	ENCFF841ECJ.fastq.gz
FXR2 eCLIP mock input (Homo sapiens)	NA	FXR2 eCLIP mock input	K562	ENCFF277PAA	673afa5fe5cc15b4222471f4aa4d0e54	fastq	NA	1	/files/ENCFF508IIT/	reads	1	FXR2-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF277PAA.fastq.gz
FXR2 eCLIP mock input (Homo sapiens)	NA	FXR2 eCLIP mock input	K562	ENCFF508IIT	5261642fe1d6f86ddf3785e25921d634	fastq	NA	2	/files/ENCFF277PAA/	reads	1	FXR2-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF508IIT.fastq.gz
TRA2A eCLIP mock input (Homo sapiens)	NA	TRA2A eCLIP mock input	K562	ENCFF057LEI	e528843ef9b2e19a27c9c0a20cc299cf	fastq	NA	1	/files/ENCFF169EQC/	reads	1	TRA2A-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF057LEI.fastq.gz
TRA2A eCLIP mock input (Homo sapiens)	NA	TRA2A eCLIP mock input	K562	ENCFF169EQC	ba0bebe67d8a1bce92ce458de7a44404	fastq	NA	2	/files/ENCFF057LEI/	reads	1	TRA2A-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF169EQC.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	K562	ENCFF053VCT	7df2207fe28d33a2e907080476b87fb3	fastq	NA	1	/files/ENCFF098RUK/	reads	2	NCBP2_K562_rep2_R1_reads.fastq.gz	ENCFF053VCT.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	K562	ENCFF205RFL	d3826bd47fad890fb2165c2a61b726e8	fastq	NA	1	/files/ENCFF608TLJ/	reads	1	NCBP2_K562_rep1_R1_reads.fastq.gz	ENCFF205RFL.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	K562	ENCFF098RUK	4328f67b6ce7aa54f8cdb5f922ff7185	fastq	NA	2	/files/ENCFF053VCT/	reads	2	NCBP2_K562_rep2_R2_reads.fastq.gz	ENCFF098RUK.fastq.gz
NCBP2 (Homo sapiens)	NCBP2	NCBP2	K562	ENCFF608TLJ	28ca228c6e1d2c776aa02797af201b3c	fastq	NA	2	/files/ENCFF205RFL/	reads	1	NCBP2_K562_rep1_R2_reads.fastq.gz	ENCFF608TLJ.fastq.gz
GNL3 (Homo sapiens)	GNL3	GNL3	K562	ENCFF424ZQP	72872dbbcdaa9a9b9b34742bc065733d	fastq	NA	1	/files/ENCFF509YYT/	reads	1	GNL3_K562_rep1_R1_reads.fastq.gz	ENCFF424ZQP.fastq.gz
GNL3 (Homo sapiens)	GNL3	GNL3	K562	ENCFF364XWE	9095e9afdfdb1d08f1424e4e2a207d64	fastq	NA	1	/files/ENCFF410KLG/	reads	2	GNL3_K562_rep2_R1_reads.fastq.gz	ENCFF364XWE.fastq.gz
GNL3 (Homo sapiens)	GNL3	GNL3	K562	ENCFF509YYT	cf160b523261794f5748a38921ec8177	fastq	NA	2	/files/ENCFF424ZQP/	reads	1	GNL3_K562_rep1_R2_reads.fastq.gz	ENCFF509YYT.fastq.gz
GNL3 (Homo sapiens)	GNL3	GNL3	K562	ENCFF410KLG	32daf12c78aa4e395b5bcde80cfb264e	fastq	NA	2	/files/ENCFF364XWE/	reads	2	GNL3_K562_rep2_R2_reads.fastq.gz	ENCFF410KLG.fastq.gz
NOLC1 (Homo sapiens)	NOLC1	NOLC1	HepG2	ENCFF537BAJ	af0c9175ab1c88283b311d9df8b5941f	fastq	NA	1	/files/ENCFF161CIM/	reads	1	NOLC1_HepG2_rep1_R1_reads.fastq.gz	ENCFF537BAJ.fastq.gz
NOLC1 (Homo sapiens)	NOLC1	NOLC1	HepG2	ENCFF656UJI	bd7f7048e71b596953af10985d33cfb8	fastq	NA	1	/files/ENCFF091OGJ/	reads	2	NOLC1_HepG2_rep2_R1_reads.fastq.gz	ENCFF656UJI.fastq.gz
NOLC1 (Homo sapiens)	NOLC1	NOLC1	HepG2	ENCFF161CIM	0176f83c6154555c1da35823638a08b3	fastq	NA	2	/files/ENCFF537BAJ/	reads	1	NOLC1_HepG2_rep1_R2_reads.fastq.gz	ENCFF161CIM.fastq.gz
NOLC1 (Homo sapiens)	NOLC1	NOLC1	HepG2	ENCFF091OGJ	9d722c63660c7e0ae69aa14f985424d3	fastq	NA	2	/files/ENCFF656UJI/	reads	2	NOLC1_HepG2_rep2_R2_reads.fastq.gz	ENCFF091OGJ.fastq.gz
HNRNPC eCLIP mock input (Homo sapiens)	NA	HNRNPC eCLIP mock input	HepG2	ENCFF412YDY	b99bba474d8c0e1999e5efb8f2aaff5b	fastq	NA	1	/files/ENCFF357SNM/	reads	1	HNRNPC-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF412YDY.fastq.gz
HNRNPC eCLIP mock input (Homo sapiens)	NA	HNRNPC eCLIP mock input	HepG2	ENCFF357SNM	447d245bfdd3ebe2784651c208535252	fastq	NA	2	/files/ENCFF412YDY/	reads	1	HNRNPC-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF357SNM.fastq.gz
LIN28B (Homo sapiens)	LIN28B	LIN28B	K562	ENCFF110KUU	0d8fb88268a30f4102448fcb80180396	fastq	NA	1	/files/ENCFF594JCF/	reads	1	LIN28B_K562_rep1_R1_reads.fastq.gz	ENCFF110KUU.fastq.gz
LIN28B (Homo sapiens)	LIN28B	LIN28B	K562	ENCFF961JRQ	35d5a4454884ec4883061aade551bfad	fastq	NA	1	/files/ENCFF557FKM/	reads	2	LIN28B_K562_rep2_R1_reads.fastq.gz	ENCFF961JRQ.fastq.gz
LIN28B (Homo sapiens)	LIN28B	LIN28B	K562	ENCFF594JCF	61da4290849b02e5fbf22b0535dcb3d3	fastq	NA	2	/files/ENCFF110KUU/	reads	1	LIN28B_K562_rep1_R2_reads.fastq.gz	ENCFF594JCF.fastq.gz
LIN28B (Homo sapiens)	LIN28B	LIN28B	K562	ENCFF557FKM	f9bfd423296f65018dba5eb22e4efcd3	fastq	NA	2	/files/ENCFF961JRQ/	reads	2	LIN28B_K562_rep2_R2_reads.fastq.gz	ENCFF557FKM.fastq.gz
BCCIP (Homo sapiens)	BCCIP	BCCIP	HepG2	ENCFF287LMI	aa8442adfc2ec321abd858bb3ea15ad6	fastq	NA	1	/files/ENCFF292ANE/	reads	1	BCCIP_HepG2_rep1_R1_reads.fastq.gz	ENCFF287LMI.fastq.gz
BCCIP (Homo sapiens)	BCCIP	BCCIP	HepG2	ENCFF300RFO	30e7aefe7cbff67dba58ca08fd1c85fd	fastq	NA	1	/files/ENCFF896YHT/	reads	2	BCCIP_HepG2_rep2_R1_reads.fastq.gz	ENCFF300RFO.fastq.gz
BCCIP (Homo sapiens)	BCCIP	BCCIP	HepG2	ENCFF292ANE	62d426324e37fa369714e86cc51bca6d	fastq	NA	2	/files/ENCFF287LMI/	reads	1	BCCIP_HepG2_rep1_R2_reads.fastq.gz	ENCFF292ANE.fastq.gz
BCCIP (Homo sapiens)	BCCIP	BCCIP	HepG2	ENCFF896YHT	aad8639bce774e67a34094c4c3ff604b	fastq	NA	2	/files/ENCFF300RFO/	reads	2	BCCIP_HepG2_rep2_R2_reads.fastq.gz	ENCFF896YHT.fastq.gz
FAM120A (Homo sapiens)	FAM120A	FAM120A	HepG2	ENCFF687SEY	6685420cdc16dd1f88f2253b430b9e8d	fastq	NA	1	/files/ENCFF319ICK/	reads	2	FAM120A_HepG2_rep2_R1_reads.fastq.gz	ENCFF687SEY.fastq.gz
FAM120A (Homo sapiens)	FAM120A	FAM120A	HepG2	ENCFF545IVO	f2c88b636b8d848e8f79d4f8009d35f7	fastq	NA	1	/files/ENCFF815UFF/	reads	1	FAM120A_HepG2_rep1_R1_reads.fastq.gz	ENCFF545IVO.fastq.gz
FAM120A (Homo sapiens)	FAM120A	FAM120A	HepG2	ENCFF319ICK	e479e1aa501de4b5b2730a74c90e0107	fastq	NA	2	/files/ENCFF687SEY/	reads	2	FAM120A_HepG2_rep2_R2_reads.fastq.gz	ENCFF319ICK.fastq.gz
FAM120A (Homo sapiens)	FAM120A	FAM120A	HepG2	ENCFF815UFF	90197b3b65fa074ea3e01114df0d2010	fastq	NA	2	/files/ENCFF545IVO/	reads	1	FAM120A_HepG2_rep1_R2_reads.fastq.gz	ENCFF815UFF.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	HepG2	ENCFF729MSV	a717400024c5150e7985ac764ad36277	fastq	NA	1	/files/ENCFF578OMQ/	reads	2	SRSF7_HepG2_rep2_R1_reads.fastq.gz	ENCFF729MSV.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	HepG2	ENCFF605JFT	a4c27565fb7a141391ffa39760c8c1ad	fastq	NA	2	/files/ENCFF619RHU/	reads	1	SRSF7_HepG2_rep1_R2_reads.fastq.gz	ENCFF605JFT.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	HepG2	ENCFF619RHU	0b682fe704672bd75a4eaf8e28addb41	fastq	NA	1	/files/ENCFF605JFT/	reads	1	SRSF7_HepG2_rep1_R1_reads.fastq.gz	ENCFF619RHU.fastq.gz
SRSF7 (Homo sapiens)	SRSF7	SRSF7	HepG2	ENCFF578OMQ	94a4819539360efc9fc18ecec2c8cb41	fastq	NA	2	/files/ENCFF729MSV/	reads	2	SRSF7_HepG2_rep2_R2_reads.fastq.gz	ENCFF578OMQ.fastq.gz
AARS (Homo sapiens)	AARS	AARS	K562	ENCFF315MYF	738e45fe67a4fd61676aa06051e10d03	fastq	NA	1	/files/ENCFF698SDU/	reads	1	AARS_K562_rep1_R1_reads.fastq.gz	ENCFF315MYF.fastq.gz
AARS (Homo sapiens)	AARS	AARS	K562	ENCFF505WTD	ec703fd960ca4cbdcc00c19a166f5824	fastq	NA	1	/files/ENCFF249ULX/	reads	2	AARS_K562_rep2_R1_reads.fastq.gz	ENCFF505WTD.fastq.gz
AARS (Homo sapiens)	AARS	AARS	K562	ENCFF249ULX	8f9e67dcd357e14abac8d12c7ac96cb1	fastq	NA	2	/files/ENCFF505WTD/	reads	2	AARS_K562_rep2_R2_reads.fastq.gz	ENCFF249ULX.fastq.gz
AARS (Homo sapiens)	AARS	AARS	K562	ENCFF698SDU	10a00892f9b60e36fc5cb10c0b2eac6b	fastq	NA	2	/files/ENCFF315MYF/	reads	1	AARS_K562_rep1_R2_reads.fastq.gz	ENCFF698SDU.fastq.gz
DDX42 (Homo sapiens)	DDX42	DDX42	K562	ENCFF196YUL	68e6a7ab56a888ffb223f7f696608c04	fastq	NA	1	/files/ENCFF092NLI/	reads	1	DDX42_K562_rep1_R1_reads.fastq.gz	ENCFF196YUL.fastq.gz
DDX42 (Homo sapiens)	DDX42	DDX42	K562	ENCFF450GCJ	78d7cd6b619394c0a98f1e98bffbcc5e	fastq	NA	1	/files/ENCFF032CWK/	reads	2	DDX42_K562_rep2_R1_reads.fastq.gz	ENCFF450GCJ.fastq.gz
DDX42 (Homo sapiens)	DDX42	DDX42	K562	ENCFF032CWK	2217608dd7329c92186d31fe176091cd	fastq	NA	2	/files/ENCFF450GCJ/	reads	2	DDX42_K562_rep2_R2_reads.fastq.gz	ENCFF032CWK.fastq.gz
DDX42 (Homo sapiens)	DDX42	DDX42	K562	ENCFF092NLI	daa1bf0d50b70e27e65d2a964e84f914	fastq	NA	2	/files/ENCFF196YUL/	reads	1	DDX42_K562_rep1_R2_reads.fastq.gz	ENCFF092NLI.fastq.gz
NPM1 (Homo sapiens)	NPM1	NPM1	K562	ENCFF217PBP	03a03435059af170def2a0b8d78aa9ad	fastq	NA	1	/files/ENCFF996KND/	reads	1	NPM1_K562_rep1_R1_reads.fastq.gz	ENCFF217PBP.fastq.gz
NPM1 (Homo sapiens)	NPM1	NPM1	K562	ENCFF741BIN	d4f0b838d1148c5808bd3e6b84f18262	fastq	NA	1	/files/ENCFF938BSK/	reads	2	NPM1_K562_rep2_R1_reads.fastq.gz	ENCFF741BIN.fastq.gz
NPM1 (Homo sapiens)	NPM1	NPM1	K562	ENCFF938BSK	1d7d5c6b6d4c6296229b5d175597de61	fastq	NA	2	/files/ENCFF741BIN/	reads	2	NPM1_K562_rep2_R2_reads.fastq.gz	ENCFF938BSK.fastq.gz
